Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
"A2M,The A2 Milk Company Limited NZ,Consumer Staples,""1,964,410,000"",0.12,,""1,667,144,031,000"","
"AAC,Australian Agricultural Company Limited,Consumer Staples,""927,459,000"",0.06,,,"
"AAD,Ardent Leisure Group Stapled,Consumer Discretionary,""858,443,000"",0.05,,Sector Breakdown,"
"ABC,Adelaide Brighton Limited,Materials,""3,690,040,000"",0.22,,Consumer Discretionary,5.77"
"ABP,Abacus Property Group Stapled,Real Estate,""1,864,850,000"",0.11,,Consumer Staples,6.97"
"ACX,Aconex Limited,Information Technology,""779,031,000"",0.05,,Energy,4.4"
"AGL,AGL Energy Limited,Utilities,""17,651,200,000"",1.06,,Financials,36.35"
"AHG,Automotive Holdings Group Limited,Consumer Discretionary,""1,366,290,000"",0.08,,Health Care,7.52"
"AHY,Asaleo Care Limited,Consumer Staples,""965,307,000"",0.06,,Industrials,6.77"
"ALL,Aristocrat Leisure Limited,Consumer Discretionary,""11,474,600,000"",0.69,,Information Technology,1.33"
"ALQ,Als Limited,Industrials,""3,095,920,000"",0.19,,Materials,15.79"
"ALU,Altium Limited,Information Technology,""989,640,000"",0.06,,Real Estate,8.2"
"AMC,Amcor Limited,Materials,""17,441,600,000"",1.05,,Telecommunication Services,4.19"
"AMP,AMP Limited,Financials,""15,321,100,000"",0.92,,Utilities,2.72"
"ANN,Ansell Limited,Health Care,""3,551,570,000"",0.21,,,"
"ANZ,Australia And New Zealand Banking Group Limited,Financials,""93,424,700,000"",5.6,,,"
"AOG,Aveo Group Stapled,Real Estate,""1,866,090,000"",0.11,,,"
"APA,APA Group Stapled,Utilities,""9,984,190,000"",0.6,,,"
"API,Australian Pharmaceutical Industries Limited,Health Care,""999,193,000"",0.06,,,"
"APN,APN News & Media Limited,Consumer Discretionary,""854,834,000"",0.05,,,"
"APO,Apn Outdoor Group Limited,Consumer Discretionary,""949,703,000"",0.06,,,"
"ARB,ARB Corporation Limited,Consumer Discretionary,""1,165,590,000"",0.07,,,"
"AST,Ausnet Services Limited,Utilities,""6,071,320,000"",0.36,,,"
"ASX,ASX Limited,Financials,""9,772,680,000"",0.59,,,"
"AWC,Alumina Limited,Materials,""5,154,920,000"",0.31,,,"
"AZJ,Aurizon Holdings Limited,Industrials,""10,771,700,000"",0.65,,,"
"BAL,Bellamy's Australia Limited,Consumer Staples,""406,083,000"",0.02,,,"
"BAP,Bapcor Limited,Consumer Discretionary,""1,619,670,000"",0.1,,,"
"BEN,Bendigo And Adelaide Bank Limited,Financials,""5,738,350,000"",0.34,,,"
"BGA,Bega Cheese Limited,Consumer Staples,""965,977,000"",0.06,,,"
"BHP,BHP Billiton Limited,Materials,""77,209,100,000"",4.63,,,"
"BKL,Blackmores Limited,Consumer Staples,""1,938,590,000"",0.12,,,"
"BKW,Brickworks Limited,Materials,""2,188,870,000"",0.13,,,"
"BLD,Boral Limited,Materials,""6,846,420,000"",0.41,,,"
"BOQ,Bank of Queensland Limited,Financials,""4,709,870,000"",0.28,,,"
"BPT,Beach Energy Limited,Energy,""1,492,080,000"",0.09,,,"
"BRG,Breville Group Limited,Consumer Discretionary,""1,343,880,000"",0.08,,,"
"BSL,Bluescope Steel Limited,Materials,""7,035,930,000"",0.42,,,"
"BTT,BT Investment Management Limited,Financials,""3,132,890,000"",0.19,,,"
"BWP,BWP Trust Ord Units,Real Estate,""1,830,790,000"",0.11,,,"
"BXB,Brambles Limited,Industrials,""14,853,800,000"",0.89,,,"
"CAR,Carsales.com Limited,Information Technology,""2,694,300,000"",0.16,,,"
"CBA,Commonwealth Bank of Australia,Financials,""148,038,000,000"",8.88,,,"
"CCL,Coca-cola Amatil Limited,Consumer Staples,""8,262,050,000"",0.5,,,"
"CCP,Credit Corp Group Limited,Financials,""818,742,000"",0.05,,,"
"CGC,Costa Group Holdings Limited,Consumer Staples,""1,388,870,000"",0.08,,,"
"CGF,Challenger Limited,Financials,""7,178,620,000"",0.43,,,"
"CHC,Charter Hall Group Forus,Real Estate,""2,278,200,000"",0.14,,,"
"CIM,Cimic Group Limited,Industrials,""11,650,500,000"",0.7,,,"
"CMW,Cromwell Property Group Stapled,Real Estate,""1,681,620,000"",0.1,,,"
"COH,Cochlear Limited,Health Care,""7,765,810,000"",0.47,,,"
"CPU,Computershare Limited,Information Technology,""7,681,340,000"",0.46,,,"
"CQR,Charter Hall Retail Reit Unit,Real Estate,""1,762,860,000"",0.11,,,"
"CSL,CSL Limited,Health Care,""57,047,600,000"",3.42,,,"
"CSR,CSR Limited,Materials,""2,275,210,000"",0.14,,,"
"CTD,Corporate Travel Management Limited,Consumer Discretionary,""2,107,490,000"",0.13,,,"
"CTX,Caltex Australia Limited,Energy,""7,691,300,000"",0.46,,,"
"CWN,Crown Resorts Limited,Consumer Discretionary,""8,602,340,000"",0.52,,,"
"CWY,Cleanaway Waste Management Limited,Industrials,""1,909,120,000"",0.11,,,"
"CYB,CYBG PLC Cdi 1:1,Financials,""3,292,460,000"",0.2,,,"
"DLX,Duluxgroup Limited,Materials,""2,541,800,000"",0.15,,,"
"DMP,Domino's Pizza Enterprises Limited,Consumer Discretionary,""5,165,210,000"",0.31,,,"
"DOW,Downer Edi Limited,Industrials,""2,459,510,000"",0.15,,,"
"DUE,Duet Group Forus,Utilities,""6,893,450,000"",0.41,,,"
"DXS,Dexus Property Group Stapled,Real Estate,""9,456,850,000"",0.57,,,"
"ECX,Eclipx Group Limited,Financials,""1,037,320,000"",0.06,,,"
"EHE,Estia Health Limited,Health Care,""805,262,000"",0.05,,,"
"EVN,Evolution Mining Limited,Materials,""3,533,880,000"",0.21,,,"
"FBU,Fletcher Building Limited NZX,Materials,""5,239,590,000"",0.31,,,"
"FLT,Flight Centre Travel Group Limited,Consumer Discretionary,""2,917,940,000"",0.18,,,"
"FMG,Fortescue Metals Group LTD,Materials,""19,399,000,000"",1.16,,,"
"FPH,Fisher & Paykel Healthcare Corporation Limited NZX,Health Care,""5,018,000,000"",0.3,,,"
"FXJ,Fairfax Media Limited,Consumer Discretionary,""2,356,960,000"",0.14,,,"
"FXL,Flexigroup Limited,Financials,""860,132,000"",0.05,,,"
"GEM,G8 Education Limited,Consumer Discretionary,""1,639,920,000"",0.1,,,"
"GMA,Genworth Mortgage Insurance Australia Limited,Financials,""1,599,410,000"",0.1,,,"
"GMG,Goodman Group Stapled,Real Estate,""13,847,800,000"",0.83,,,"
"GNC,Graincorp Limited,Consumer Staples,""2,080,300,000"",0.12,,,"
"GOZ,Growthpoint Properties Australia Stapled,Real Estate,""2,096,450,000"",0.13,,,"
"GPT,GPT Group Stapled,Real Estate,""9,278,390,000"",0.56,,,"
"GTY,Gateway Lifestyle Group Stapled,Real Estate,""625,741,000"",0.04,,,"
"GUD,G.u.d. Holdings Limited,Consumer Discretionary,""1,015,160,000"",0.06,,,"
"GWA,GWA Group Limited,Industrials,""765,448,000"",0.05,,,"
"GXL,Greencross Limited,Consumer Discretionary,""836,296,000"",0.05,,,"
"GXY,Galaxy Resources Limited,Materials,""898,940,000"",0.05,,,"
"HGG,Henderson Group PLC Cdi 1:1,Financials,""2,786,180,000"",0.17,,,"
"HSO,Healthscope Limited,Health Care,""3,940,810,000"",0.24,,,"
"HVN,Harvey Norman Holdings Limited,Consumer Discretionary,""5,042,140,000"",0.3,,,"
"IAG,Insurance Australia Group Limited,Financials,""14,323,500,000"",0.86,,,"
"IFL,Ioof Holdings Limited,Financials,""2,560,140,000"",0.15,,,"
"IFN,Infigen Energy Stapled,Utilities,""784,480,000"",0.05,,,"
"IGO,Independence Group NL,Materials,""2,100,550,000"",0.13,,,"
"ILU,Iluka Resources Limited,Materials,""3,190,500,000"",0.19,,,"
"INM,Iron Mountain Incorporated Cdi 1:1,Real Estate,""2,213,420,000"",0.13,,,"
"IOF,Investa Office Fund Stapled,Real Estate,""2,916,730,000"",0.17,,,"
"IPH,IPH Limited,Industrials,""933,502,000"",0.06,,,"
"IPL,Incitec Pivot Limited,Materials,""6,343,760,000"",0.38,,,"
"IRE,Iress Limited,Information Technology,""1,990,780,000"",0.12,,,"
"ISD,Isentia Group Limited,Information Technology,""300,000,000"",0.02,,,"
"IVC,Invocare Limited,Consumer Discretionary,""1,555,830,000"",0.09,,,"
"JBH,JB Hi-fi Limited,Consumer Discretionary,""2,826,210,000"",0.17,,,"
"JHC,Japara Healthcare Limited,Health Care,""532,931,000"",0.03,,,"
"JHX,James Hardie Industries PLC Cdi 1:1,Materials,""9,068,150,000"",0.54,,,"
"LLC,Lendlease Group Stapled,Real Estate,""9,082,980,000"",0.54,,,"
"LNK,Link Administration Holdings Limited,Information Technology,""2,781,230,000"",0.17,,,"
"MFG,Magellan Financial Group Limited,Financials,""4,066,170,000"",0.24,,,"
"MGR,Mirvac Group Stapled,Real Estate,""8,115,180,000"",0.49,,,"
"MIN,Mineral Resources Limited,Materials,""2,010,640,000"",0.12,,,"
"MMS,Mcmillan Shakespeare Limited,Industrials,""1,099,970,000"",0.07,,,"
"MND,Monadelphous Group Limited,Industrials,""1,157,100,000"",0.07,,,"
"MPL,Medibank Private Limited,Financials,""7,766,290,000"",0.47,,,"
"MQA,Macquarie Atlas Roads Group Stapled,Industrials,""2,909,570,000"",0.17,,,"
"MQG,Macquarie Group Limited,Financials,""30,699,700,000"",1.84,,,"
"MTR,Mantra Group Limited,Consumer Discretionary,""868,492,000"",0.05,,,"
"MTS,Metcash Limited,Consumer Staples,""2,409,840,000"",0.14,,,"
"MYO,Myob Group Limited,Information Technology,""2,158,930,000"",0.13,,,"
"MYR,Myer Holdings Limited,Consumer Discretionary,""997,854,000"",0.06,,,"
"MYX,Mayne Pharma Group Limited,Health Care,""2,145,230,000"",0.13,,,"
"NAB,National Australia Bank Limited,Financials,""89,198,600,000"",5.35,,,"
"NAN,Nanosonics Limited,Health Care,""922,972,000"",0.06,,,"
"NCM,Newcrest Mining Limited,Materials,""17,075,200,000"",1.02,,,"
"NEC,Nine Entertainment Co. Holdings Limited,Consumer Discretionary,""1,093,570,000"",0.07,,,"
"NSR,National Storage Reit Stapled,Real Estate,""725,187,000"",0.04,,,"
"NST,Northern Star Resources LTD,Materials,""2,438,200,000"",0.15,,,"
"NUF,Nufarm Limited,Materials,""2,588,090,000"",0.16,,,"
"NVT,Navitas Limited,Consumer Discretionary,""1,594,240,000"",0.1,,,"
"NWS,News Corporation. B Voting,Consumer Discretionary,""796,231,000"",0.05,,,"
"NXT,Nextdc Limited,Information Technology,""1,159,020,000"",0.07,,,"
"ORA,Orora Limited,Materials,""3,571,790,000"",0.21,,,"
"ORE,Orocobre Limited,Materials,""585,247,000"",0.04,,,"
"ORG,Origin Energy Limited,Energy,""12,372,800,000"",0.74,,,"
"ORI,Orica Limited,Materials,""6,620,690,000"",0.4,,,"
"OSH,Oil Search Limited 10T,Energy,""10,993,800,000"",0.66,,,"
"OZL,Oz Minerals Limited,Materials,""2,338,540,000"",0.14,,,"
"PGH,Pact Group Holdings LTD,Materials,""2,094,640,000"",0.13,,,"
"PMV,Premier Investments Limited,Consumer Discretionary,""2,254,430,000"",0.14,,,"
"PPT,Perpetual Limited,Financials,""2,428,860,000"",0.15,,,"
"PRY,Primary Health Care Limited,Health Care,""1,861,520,000"",0.11,,,"
"PTM,Platinum Asset Management Limited,Financials,""3,009,660,000"",0.18,,,"
"QAN,Qantas Airways Limited,Industrials,""7,096,570,000"",0.43,,,"
"QBE,QBE Insurance Group Limited,Financials,""17,679,800,000"",1.06,,,"
"QUB,Qube Holdings Limited,Industrials,""3,716,900,000"",0.22,,,"
"REA,REA Group LTD,Consumer Discretionary,""7,814,630,000"",0.47,,,"
"REG,Regis Healthcare Limited,Health Care,""1,342,600,000"",0.08,,,"
"RFG,Retail Food Group Limited,Consumer Discretionary,""938,368,000"",0.06,,,"
"RHC,Ramsay Health Care Limited,Health Care,""14,123,500,000"",0.85,,,"
"RIO,RIO Tinto Limited,Materials,""25,646,700,000"",1.54,,,"
"RMD,Resmed Inc Cdi 10:1,Health Care,""13,155,700,000"",0.79,,,"
"RRL,Regis Resources Limited,Materials,""1,653,280,000"",0.1,,,"
"RSG,Resolute Mining Limited,Materials,""958,078,000"",0.06,,,"
"RWC,Reliance Worldwide Corporation Limited,Industrials,""1,512,000,000"",0.09,,,"
"S32,SOUTH32 Limited,Materials,""14,693,600,000"",0.88,,,"
"SAR,Saracen Mineral Holdings Limited,Materials,""795,436,000"",0.05,,,"
"SBM,ST Barbara Limited,Materials,""1,183,650,000"",0.07,,,"
"SCG,Scentre Group Stapled,Real Estate,""22,841,200,000"",1.37,,,"
"SCP,Shopping Centres Australasia Property Group Stapled,Real Estate,""1,663,760,000"",0.1,,,"
"SDF,Steadfast Group Limited,Financials,""1,904,370,000"",0.11,,,"
"SEK,Seek Limited,Industrials,""5,537,070,000"",0.33,,,"
"SFR,Sandfire Resources NL,Materials,""1,006,350,000"",0.06,,,"
"SGM,Sims Metal Management Limited,Materials,""2,442,640,000"",0.15,,,"
"SGP,Stockland Stapled,Real Estate,""11,221,400,000"",0.67,,,"
"SGR,The Star Entertainment Group Limited,Consumer Discretionary,""4,516,430,000"",0.27,,,"
"SHL,Sonic Healthcare Limited,Health Care,""9,232,290,000"",0.55,,,"
"SIP,Sigma Pharmaceuticals Limited,Health Care,""1,387,060,000"",0.08,,,"
"SKC,Skycity Entertainment Group Limited NZX,Consumer Discretionary,""2,473,930,000"",0.15,,,"
"SKI,Spark Infrastructure Group Forus,Utilities,""3,986,370,000"",0.24,,,"
"SKT,SKY Network Television Limited NZ,Consumer Discretionary,""1,365,880,000"",0.08,,,"
"SPK,Spark New Zealand Limited NZX,Telecommunication Services,""5,827,590,000"",0.35,,,"
"SPO,Spotless Group Holdings Limited,Industrials,""1,191,640,000"",0.07,,,"
"SRX,Sirtex Medical Limited,Health Care,""1,032,770,000"",0.06,,,"
"STO,Santos Limited,Energy,""7,915,060,000"",0.47,,,"
"SUL,Super Retail Group Limited,Consumer Discretionary,""2,021,710,000"",0.12,,,"
"SUN,Suncorp Group Limited,Financials,""17,043,500,000"",1.02,,,"
"SVW,Seven Group Holdings Limited,Industrials,""3,012,090,000"",0.18,,,"
"SWM,Seven West Media Limited,Consumer Discretionary,""1,183,810,000"",0.07,,,"
"SXL,Southern Cross Media Group Limited,Consumer Discretionary,""1,076,620,000"",0.06,,,"
"SYD,Sydney Airport Forus,Industrials,""15,231,300,000"",0.91,,,"
"SYR,Syrah Resources Limited,Materials,""746,611,000"",0.04,,,"
"TAH,Tabcorp Holdings Limited,Consumer Discretionary,""3,967,520,000"",0.24,,,"
"TCL,Transurban Group Stapled,Industrials,""23,950,100,000"",1.44,,,"
"TGR,Tassal Group Limited,Consumer Staples,""760,425,000"",0.05,,,"
"TLS,Telstra Corporation Limited,Telecommunication Services,""55,422,800,000"",3.32,,,"
"TME,Trade Me Group Limited NZX,Consumer Discretionary,""1,850,770,000"",0.11,,,"
"TNE,Technology One Limited,Information Technology,""1,607,740,000"",0.1,,,"
"TPM,TPG Telecom Limited,Telecommunication Services,""5,913,860,000"",0.35,,,"
"TTS,Tatts Group Limited,Consumer Discretionary,""6,505,540,000"",0.39,,,"
"TWE,Treasury Wine Estates Limited,Consumer Staples,""9,027,390,000"",0.54,,,"
"VCX,Vicinity Centres Stapled,Real Estate,""11,203,000,000"",0.67,,,"
"VOC,Vocus Group Limited,Telecommunication Services,""2,679,920,000"",0.16,,,"
"VRT,Virtus Health Limited,Health Care,""464,577,000"",0.03,,,"
"VVR,Viva Energy Reit Stapled,Real Estate,""1,642,560,000"",0.1,,,"
"WBC,Westpac Banking Corporation,Financials,""117,683,000,000"",7.06,,,"
"WEB,Webjet Limited,Consumer Discretionary,""1,123,930,000"",0.07,,,"
"WES,Wesfarmers Limited,Consumer Staples,""50,971,400,000"",3.06,,,"
"WFD,Westfield Corporation Stapled,Real Estate,""18,453,400,000"",1.11,,,"
"WHC,Whitehaven Coal Limited,Energy,""3,067,880,000"",0.18,,,"
"WOR,Worleyparsons Limited,Energy,""2,719,150,000"",0.16,,,"
"WOW,Woolworths Limited,Consumer Staples,""34,136,300,000"",2.05,,,"
"WPL,Woodside Petroleum Limited,Energy,""27,025,600,000"",1.62,,,"
"WSA,Western Areas Limited,Materials,""628,959,000"",0.04,,,"
